source_id,citation_text,domains,evidence_tier,urls,anchor
S78,"Baltrušaitis, T., Zadeh, A., Lim, Y. C., & Morency, L.-P. (2018). OpenFace 2.0: Facial Behavior Analysis Toolkit. In *13th IEEE International Conference on Automatic Face & Gesture Recognition (FG 2018)*, 59–66. https://doi.org/10.1109/FG.2018.00019 · https://github.com/TadasBaltrusaitis/OpenFace",face_analysis;pose_estimation;human_reconstruction;optical_flow;camera_reconstruction,established_or_foundational,https://doi.org/10.1109/FG.2018.00019;https://github.com/TadasBaltrusaitis/OpenFace,source-S78
S79,"Fang, H.-S., Li, J., Tang, H., Xu, C., Zhu, H., Xiu, Y., Li, Y.-L., & Lu, C. (2023). AlphaPose: Whole-Body Regional Multi-Person Pose Estimation and Tracking in Real-Time. *IEEE Transactions on Pattern Analysis and Machine Intelligence, 45*(6), 7157–7173. https://doi.org/10.1109/TPAMI.2022.3222784 · https://arxiv.org/abs/2211.03375",face_analysis;pose_estimation;human_reconstruction;optical_flow;camera_reconstruction,established_or_foundational,https://doi.org/10.1109/TPAMI.2022.3222784;https://arxiv.org/abs/2211.03375,source-S79
S80,"Goel, S., Pavlakos, G., Rajasegaran, J., Kanazawa, A., & Malik, J. (2023). Humans in 4D: Reconstructing and Tracking Humans with Transformers. In *IEEE/CVF International Conference on Computer Vision (ICCV)*. https://arxiv.org/abs/2305.20091",face_analysis;pose_estimation;human_reconstruction;optical_flow;camera_reconstruction,established_or_foundational,https://arxiv.org/abs/2305.20091,source-S80
S81,"Zhao, Q., Liu, C., Gong, Z., Weng, J., Li, T., & Tan, P. (2024). Synergistic Global-Space Camera and Human Reconstruction from Videos. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://research.adobe.com/publication/synergistic-global-space-camera-and-human-reconstruction-from-videos/",face_analysis;pose_estimation;human_reconstruction;optical_flow;camera_reconstruction,established_or_foundational,https://research.adobe.com/publication/synergistic-global-space-camera-and-human-reconstruction-from-videos/,source-S81
S82,"Teed, Z., & Deng, J. (2020). RAFT: Recurrent All-Pairs Field Transforms for Optical Flow. In *European Conference on Computer Vision (ECCV)*. https://doi.org/10.1007/978-3-030-58536-5_24 · https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3526_ECCV_2020_paper.php",face_analysis;pose_estimation;human_reconstruction;optical_flow;camera_reconstruction,established_or_foundational,https://doi.org/10.1007/978-3-030-58536-5_24;https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3526_ECCV_2020_paper.php,source-S82
S83,"Schönberger, J. L., & Frahm, J.-M. (2016). Structure-from-Motion Revisited. In *IEEE Conference on Computer Vision and Pattern Recognition (CVPR)*. COLMAP documentation: https://colmap.github.io/",face_analysis;pose_estimation;human_reconstruction;optical_flow;camera_reconstruction,established_or_foundational,https://colmap.github.io/,source-S83
S84,"Souček, T., & Lokoč, J. (2020). TransNet V2: An Effective Deep Network Architecture for Fast Shot Transition Detection. *arXiv preprint arXiv:2008.04838*. https://arxiv.org/abs/2008.04838",shot_detection;scene_segmentation;action_segmentation;movie_understanding,established_or_foundational,https://arxiv.org/abs/2008.04838,source-S84
S85,"Huang, Q., Xiong, Y., Rao, A., Wang, J., & Lin, D. (2020). MovieNet: A Holistic Dataset for Movie Understanding. In *European Conference on Computer Vision (ECCV)*. https://doi.org/10.1007/978-3-030-58548-8_41 · https://movienet.github.io/projects/eccv20movienet.html",shot_detection;scene_segmentation;action_segmentation;movie_understanding,established_or_foundational,https://doi.org/10.1007/978-3-030-58548-8_41;https://movienet.github.io/projects/eccv20movienet.html,source-S85
S86,"Rao, A., Xu, L., Xiong, Y., Xu, G., Huang, Q., Zhou, B., & Lin, D. (2020). A Local-to-Global Approach to Multi-Modal Movie Scene Segmentation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://arxiv.org/abs/2004.02678",shot_detection;scene_segmentation;action_segmentation;movie_understanding,established_or_foundational,https://arxiv.org/abs/2004.02678,source-S86
S87,"Yi, F., Wen, H., & Jiang, T. (2021). ASFormer: Transformer for Action Segmentation. In *British Machine Vision Conference (BMVC)*. https://doi.org/10.5244/C.35.49 · https://bmva-archive.org.uk/bmvc/2021/conference/papers/paper_0183.html",shot_detection;scene_segmentation;action_segmentation;movie_understanding,established_or_foundational,https://doi.org/10.5244/C.35.49;https://bmva-archive.org.uk/bmvc/2021/conference/papers/paper_0183.html,source-S87
S88,"Zhang, C.-L., Wu, J., & Li, Y. (2022). ActionFormer: Localizing Moments of Actions with Transformers. In *European Conference on Computer Vision (ECCV)*. https://doi.org/10.1007/978-3-031-19772-7_29 · https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/7278_ECCV_2022_paper.php",shot_detection;scene_segmentation;action_segmentation;movie_understanding,established_or_foundational,https://doi.org/10.1007/978-3-031-19772-7_29;https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/7278_ECCV_2022_paper.php,source-S88
S89,"Radford, A., Kim, J. W., Xu, T., Brockman, G., McLeavey, C., & Sutskever, I. (2022). Robust Speech Recognition via Large-Scale Weak Supervision. *arXiv preprint arXiv:2212.04356*. https://arxiv.org/abs/2212.04356 · https://github.com/openai/whisper",speech_recognition;multiview_activity;gaze;timeline_interchange,established_or_foundational,https://arxiv.org/abs/2212.04356;https://github.com/openai/whisper,source-S89
S90,"Grauman, K., Westbury, A., Torresani, L., et al. (2024). Ego-Exo4D: Understanding Skilled Human Activity from First- and Third-Person Perspectives. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 19383–19400. https://openaccess.thecvf.com/content/CVPR2024/html/Grauman_Ego-Exo4D_Understanding_Skilled_Human_Activity_from_First-_and_Third-Person_Perspectives_CVPR_2024_paper.html",speech_recognition;multiview_activity;gaze;timeline_interchange,emerging_or_recent_or_current_documentation,https://openaccess.thecvf.com/content/CVPR2024/html/Grauman_Ego-Exo4D_Understanding_Skilled_Human_Activity_from_First-_and_Third-Person_Perspectives_CVPR_2024_paper.html,source-S90
S91,"Chong, E., Ruiz, N., Wang, Y., Zhang, Y., Rozga, A., & Rehg, J. M. (2020). Detecting Attended Visual Targets in Video. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://doi.org/10.1109/CVPR42600.2020.00544",speech_recognition;multiview_activity;gaze;timeline_interchange,established_or_foundational,https://doi.org/10.1109/CVPR42600.2020.00544,source-S91
S92,"Academy Software Foundation. (2026). *OpenTimelineIO Documentation*. Accessed July 18, 2026. https://opentimelineio.readthedocs.io/en/latest/",speech_recognition;multiview_activity;gaze;timeline_interchange,established_or_foundational,https://opentimelineio.readthedocs.io/en/latest/,source-S92
